| 2020:06:24 22:36:10,870 | D | asyncio | Using selector: EpollSelector
| 2020:06:24 22:36:10,949 | I | root | lib/conn_util.py +39 MongoMixin MONGO	User Database has been Initialized!
| 2020:06:24 22:36:10,987 | I | root | lib/conn_util.py +58 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 22:36:11,017 | I | root | lib/conn_util.py +77 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 22:36:11,036 | I | root | run.py +111 __init__ APP	Running Tornado Application Port - [ 2331 ]
| 2020:06:24 22:36:16,555 | I | root | lib/fernet_crypto.py +65 FN_DECRYPT 	
| 2020:06:24 22:36:16,557 | I | root | lib/xen_protocol.py +54 require_auth Authorization	5d232de88d26f4bb9e11367b
| 2020:06:24 22:36:16,561 | I | root | lib/fernet_crypto.py +65 FN_DECRYPT 	
| 2020:06:24 22:36:16,562 | I | root | lib/xen_protocol.py +71 require_auth x-Origin-Key	5e551060234c5ff26752bd45
| 2020:06:24 22:36:16,564 | I | root | lib/xen_protocol.py +86 require_auth x-Api-Key	5e58fd693bf1f7d832254c76
| 2020:06:24 22:36:16,571 | D | root | med/medservicelist.py +770 delete RSP	{'code': 4100, 'status': False, 'message': 'Invalid ID'}
| 2020:06:24 22:36:16,573 | I | tornado.access | 200 DELETE /v2/web/api/med/servicelist?id=5ef3807551d0f2167ff186d8 (::1) 22.86ms
| 2020:06:24 22:36:19,144 | I | root | lib/fernet_crypto.py +65 FN_DECRYPT 	
